transaction_id,user_id,amount,timestamp,status
TXN00001,USER0661,781.45,2026-01-30 08:18:36,completed
TXN00002,USER0786,608.2,2026-02-03 08:18:36,failed
TXN00003,USER0810,497.94,2026-01-20 08:18:36,pending
TXN00004,USER0500,820.45,2026-01-21 08:18:36,failed
TXN00005,USER0728,224.11,2026-02-06 08:18:36,failed
TXN00006,USER0947,632.02,2026-03-10 08:18:36,completed
TXN00007,USER0656,117.54,2026-02-01 08:18:36,refunded
TXN00008,USER0700,456.49,2026-02-05 08:18:36,failed
TXN00009,USER0646,201.68,2026-01-09 08:18:36,completed
TXN00010,USER0466,51.07,2026-01-15 08:18:36,pending
TXN00011,USER0001,173.6,2026-01-31 08:18:36,refunded
TXN00012,USER0775,113.95,2026-01-25 08:18:36,refunded
TXN00013,USER0172,622.06,2026-01-30 08:18:36,refunded
TXN00014,USER0158,279.18,2026-01-12 08:18:36,refunded
TXN00015,USER0531,266.58,2026-02-06 08:18:36,pending
