transaction_id,amount,timestamp,user_id,user_comment,category
1,23.463404498842955,2026-02-06T16:03:28.787288,47,Comment 0,A
2,150.50607154587604,2026-02-06T15:03:28.787302,12,Comment 1,C
3,65.83728467727246,2026-02-06T14:03:28.787304,62,Comment 2,B
4,45.64712768879766,2026-02-06T13:03:28.787306,80,Comment 3,A
5,8.481243523117314,2026-02-06T12:03:28.787307,88,Comment 4,C
6,8.479814595730259,2026-02-06T11:03:28.787309,83,Comment 5,C
7,2.991938430434034,2026-02-06T10:03:28.787310,8,Comment 6,B
8,100.56154322399698,2026-02-06T09:03:28.787312,95,Comment 7,A
9,45.954107681363226,2026-02-06T08:03:28.787313,21,Comment 8,A
10,61.562503085229515,2026-02-06T07:03:28.787314,81,Comment 9,A
11,1.0399653999569312,2026-02-06T06:03:28.787315,87,Comment 10,B
12,175.1778737579156,2026-02-06T05:03:28.787317,80,Comment 11,A
13,89.32147716773375,2026-02-06T04:03:28.787318,70,Comment 12,B
14,11.93438126244735,2026-02-06T03:03:28.787319,72,Comment 13,B
15,10.033949437483168,2026-02-06T02:03:28.787320,25,Comment 14,B
16,10.130571141612853,2026-02-06T01:03:28.787322,82,Comment 15,C
17,18.137686473023855,2026-02-06T00:03:28.787323,89,Comment 16,A
18,37.19639154304272,2026-02-05T23:03:28.787324,12,Comment 17,A
19,28.27685333901683,2026-02-05T22:03:28.787326,15,Comment 18,B
20,17.211149627697075,2026-02-05T21:03:28.787327,59,Comment 19,B
21,47.318543694989934,2026-02-05T20:03:28.787328,26,Comment 20,A
22,7.511726436366933,2026-02-05T19:03:28.787329,26,Comment 21,B
23,17.275775600120113,2026-02-05T18:03:28.787331,47,Comment 22,A
24,22.81386091104235,2026-02-05T17:03:28.787332,32,Comment 23,C
25,30.446734392988752,2026-02-05T16:03:28.787333,10,Comment 24,B
26,76.8968005515456,2026-02-05T15:03:28.787335,16,Comment 25,A
27,11.136793106434514,2026-02-05T14:03:28.787336,71,Comment 26,B
28,36.10145775165638,2026-02-05T13:03:28.787337,17,Comment 27,A
29,44.875236065488025,2026-02-05T12:03:28.787338,23,Comment 28,A
30,2.3781924878204275,2026-02-05T11:03:28.787340,26,Comment 29,B
31,46.7666510324805,2026-02-05T10:03:28.787341,85,Comment 30,C
32,9.348062598870822,2026-02-05T09:03:28.787342,86,Comment 31,A
33,3.363196543965212,2026-02-05T08:03:28.787343,7,Comment 32,A
34,148.68438967534655,2026-02-05T07:03:28.787345,14,Comment 33,A
35,168.53151712305862,2026-02-05T06:03:28.787346,79,Comment 34,C
36,82.61657864064384,2026-02-05T05:03:28.787348,7,Comment 35,C
37,18.164392998437915,2026-02-05T04:03:28.787349,9,Comment 36,B
38,5.138865750125312,2026-02-05T03:03:28.787350,48,Comment 37,C
39,57.63753815493309,2026-02-05T02:03:28.787351,72,Comment 38,B
